# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  4 13:28:02 2025
#
# User preference: *
#
# COLUMN disposition:    Archive Disposition
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
#
disposition,pl_orbper,pl_rade,pl_insol,pl_eqt,st_teff,st_rad,rastr,ra,decstr,dec
CONFIRMED,41.68864400000,2.35545351,,,5703.00,0.956122,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205
CONFIRMED,41.68550000000,2.23000000,,546.00,5766.00,0.928000,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205
CONFIRMED,41.68550000000,2.57807000,,,5766.00,1.080000,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205
CANDIDATE,2.30183000000,1.12000000,,1054.00,4616.52,0.762602,12h15m23.10s,183.8462454,-06d16m05.98s,-6.2683289
CANDIDATE,2.30236800000,1.31258765,,,4720.00,0.710995,12h15m23.10s,183.8462454,-06d16m05.98s,-6.2683289
CANDIDATE,1.19474880000,4.19000000,,,3919.00,0.570000,11h43m45.26s,175.9385954,-05d52m24.09s,-5.8733592
CANDIDATE,6.17836900000,9.91257877,,,5015.00,0.789478,12h05m29.23s,181.3718091,-05d50m53.79s,-5.8482738
CANDIDATE,6.17887000000,8.84000000,,772.00,4719.28,0.849432,12h05m29.23s,181.3718091,-05d50m53.79s,-5.8482738
CANDIDATE,1.17589000000,0.86000000,,,,0.309000,11h35m36.64s,173.9026640,-05d21m52.60s,-5.3646120
CANDIDATE,10.69660000000,1.45000000,,,,0.588000,11h32m10.39s,173.0432884,-05d14m49.80s,-5.2471672
CANDIDATE,1.53741150000,45.00000000,,,,1.599000,11h39m59.48s,174.9978388,-05d02m25.63s,-5.0404536
CANDIDATE,2.71189000000,4.34000000,,2336.00,6402.00,3.167450,12h06m22.49s,181.5936878,-04d56m48.14s,-4.9467043
CANDIDATE,18.10549000000,2.09985108,,,6213.00,1.224685,12h04m29.07s,181.1211419,-04d53m56.89s,-4.8991358
CONFIRMED,6.79870000000,1.04700000,,,3648.00,0.282000,11h20m33.81s,170.1408561,-04d48m25.21s,-4.8070039
CANDIDATE,79.99990000000,10.20000000,,,4542.00,0.508000,11h16m35.97s,169.1498727,-04d39m23.19s,-4.6564416
CANDIDATE,,30.00000000,,,,0.707000,11h16m35.97s,169.1498727,-04d39m23.19s,-4.6564416
CANDIDATE,17.77297000000,26.44000000,,830.00,5847.00,1.254280,12h16m40.73s,184.1697015,-04d33m37.42s,-4.5603949
CANDIDATE,0.99656225000,32.80000000,,,3727.00,0.500000,11h30m50.50s,172.7104166,-04d30m27.33s,-4.5075924
CANDIDATE,14.91238100000,3.55000000,,,4224.00,0.650000,11h48m22.77s,177.0948891,-04d09m51.86s,-4.1644059
CANDIDATE,14.91390000000,3.24000000,,,,0.647000,11h48m22.77s,177.0948891,-04d09m51.86s,-4.1644059
CANDIDATE,0.57303573000,3.35000000,,,3570.00,0.430000,11h36m28.97s,174.1207146,-03d28m58.18s,-3.4828286
CONFIRMED,28.16560000000,1.87000000,,,,,11h58m49.40s,179.7058532,-03d23m22.06s,-3.3894613
CONFIRMED,28.16960000000,2.20000000,,,,0.374000,11h58m49.40s,179.7058532,-03d23m22.06s,-3.3894613
CANDIDATE,7.90417000000,2.06000000,,,,0.374000,11h58m49.40s,179.7058532,-03d23m22.06s,-3.3894613
CANDIDATE,7.90696060000,3.02000000,,,3772.00,0.520000,11h58m49.40s,179.7058532,-03d23m22.06s,-3.3894613
CANDIDATE,1.08296140000,1.56000000,,,3875.00,0.560000,11h33m03.07s,173.2627978,-03d23m19.39s,-3.3887192
CANDIDATE,0.90565500000,1.57000000,,,,0.576000,11h32m12.69s,173.0528796,-03d22m13.16s,-3.3703210
CANDIDATE,0.90552205000,1.52000000,,,3710.00,0.500000,11h32m12.69s,173.0528796,-03d22m13.16s,-3.3703210
CANDIDATE,2.75411290000,4.87000000,,,3834.00,0.550000,11h51m47.15s,177.9464521,-03d14m45.67s,-3.2460183
CANDIDATE,2.75421000000,8.40000000,,,,0.890000,11h51m47.15s,177.9464521,-03d14m45.67s,-3.2460183
CANDIDATE,2.75391000000,3.78000000,,,3918.00,0.436000,11h51m47.15s,177.9464521,-03d14m45.67s,-3.2460183
FALSE POSITIVE,50.28586900000,3.47000000,,,4859.00,0.740000,11h52m38.67s,178.1611264,-03d05m41.67s,-3.0949095
FALSE POSITIVE,50.27762000000,209.52000000,,1466.00,5141.00,10.960000,11h52m38.67s,178.1611264,-03d05m41.67s,-3.0949095
CANDIDATE,10.50439000000,1.75000000,,,,0.878000,11h54m45.74s,178.6905819,-03d04m58.15s,-3.0828192
CANDIDATE,1.68420800000,5.51000000,,,,0.431000,11h21m31.74s,170.3822570,-03d03m39.72s,-3.0610326
CANDIDATE,0.21220130000,0.51900000,,,,0.188000,11h18m23.31s,169.5971097,-02d59m29.03s,-2.9913978
CANDIDATE,0.21219899000,1.05000000,,,3468.00,0.370000,11h18m23.31s,169.5971097,-02d59m29.03s,-2.9913978
CANDIDATE,0.21219400000,0.77000000,,,3299.00,0.260000,11h18m23.31s,169.5971097,-02d59m29.03s,-2.9913978
CANDIDATE,1.57786430000,7.55000000,,,4811.00,0.730000,11h20m31.81s,170.1325248,-02d54m09.48s,-2.9026339
CANDIDATE,1.57771549000,,,,5163.00,1.155850,11h20m31.81s,170.1325248,-02d54m09.48s,-2.9026339
CANDIDATE,1.57771549000,,,,7333.00,2.567520,11h20m32.02s,170.1334170,-02d53m53.57s,-2.8982132
CANDIDATE,13.01130000000,2.43000000,,713.00,5347.00,0.880221,12h13m14.23s,183.3092954,-02d50m39.07s,-2.8441860
CANDIDATE,40.70206194000,,,,3759.00,0.572892,11h53m40.88s,178.4203490,-02d34m18.39s,-2.5717754
CANDIDATE,21.20473900000,9.11013939,,,5154.00,1.761722,12h08m49.11s,182.2046312,-02d27m52.61s,-2.4646145
FALSE POSITIVE,2.51933400000,3.91000000,,,6283.00,1.450000,11h24m56.63s,171.2359519,-02d05m06.57s,-2.0851597
