# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct  5 00:53:21 2025
#
# User preference: *
#
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
#
tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_eqt,pl_insol,st_teff,st_rad,ra,dec
FP,2.1713484,2.0172196,656.8860989,5.8181633,3127.2040524,22601.9485814,10249.0000000,2.1698600,112.3577080,-12.6959600
PC,1.9316462,3.1660000,1286.0000000,11.2154000,4045.0000000,44464.5000000,7070.0000000,2.0100000,122.5804650,-5.5138520
FP,1.8675574,1.4080000,1500.0000000,23.7529000,2037.0000000,2860.6100000,8924.0000000,5.7300000,104.7269660,-10.5804550
FP,2.7432300,3.1670000,383.4100000,,1631.0000000,1177.3600000,5388.5000000,,110.5599450,-25.2070170
FP,3.5730141,3.3700000,755.0000000,11.3113000,4260.0000000,54679.3000000,9219.0000000,2.1500000,122.1781950,-48.8028110
FP,4.5505945,2.6540000,3731.0000000,7.1084100,1257.0000000,414.7750000,5613.0000000,1.0900000,120.7048110,-11.1015210
FP,2.5047918,4.3797563,2270.5402194,8.6950898,1649.8220699,1750.9326350,6616.0000000,1.5342900,124.3592390,-27.2735210
PC,6.9989206,3.9530000,2840.0000000,14.7752000,1282.0000000,448.7440000,6596.0000000,2.7000000,112.7523930,-4.4633590
FP,2.0483755,2.7670000,483.0000000,3.1962100,,5644.4000000,6858.5000000,1.5700000,109.3828390,13.3952190
PC,1.9600277,2.0065257,1707.6272693,,1456.4246534,1063.3422958,8868.7000000,,111.6678450,-24.4621110
KP,1.4303699,1.6165994,18960.7122944,13.1874503,1525.9048089,1281.2408254,5600.0000000,0.8907740,318.7370120,-55.8718630
FP,0.6808702,2.4634563,1507.8006889,5.9115908,4382.0266062,87140.6995884,9438.0000000,1.0000000,112.2939810,-21.8329120
PC,2.4704981,2.1910000,250.0000000,1.4465600,1364.0000000,575.5970000,5413.7000000,0.9400000,113.9847610,-32.8419990
APC,0.8841820,1.6210000,1890.0000000,24.8132000,5098.0000000,112144.0000000,8928.0000000,2.7200000,117.0952850,6.7850640
FP,5.4255548,3.9637474,14939.6342222,,1037.2753045,273.5880696,8868.7000000,,107.2860630,-31.9335230
FP,1.4095184,0.9484999,2841.5103258,,1625.6180218,1650.4220710,9307.0000000,,103.5616020,-34.2228200
FP,1.3730466,2.5708515,1301.5065338,42.1479417,1912.3318636,3160.6328329,4897.0000000,6.7996101,122.8959640,-27.9718960
FP,12.6889415,7.9201001,3232.8527885,14.0608342,1158.1310368,425.1594177,7601.0000000,1.5364100,116.1107710,-36.0982850
FP,1.1042200,2.3700000,14177.7000000,21.0448000,3926.0000000,39459.3000000,6995.2000000,1.6100000,124.7264110,-37.7832500
FP,4.9591200,2.5090000,7440.0000000,22.9123000,1419.0000000,673.5500000,5889.0000000,2.0000000,111.7160190,-50.2665670
PC,5.2341008,3.7078139,20796.9416293,24.2931408,1574.8381848,1453.6663847,7645.0000000,1.5620300,120.1479940,-54.8785520
KP,4.4119378,3.6500000,15062.0000000,15.4706000,1408.0000000,653.2520000,6280.0000000,1.2100000,87.1398210,-63.9883290
FP,3.2889200,3.7930000,10518.9000000,,3661.0000000,29832.6000000,8734.2000000,,128.3819760,-43.8284210
FP,1.9087900,1.9090000,618.4820000,3.3468800,1561.0000000,985.8070000,6022.6000000,1.2200000,119.3007500,-42.9991490
FA,3.0957400,4.4750000,380.0000000,3.4262000,3230.0000000,18087.9000000,6084.0000000,1.4100000,162.9649100,-5.7887080
FP,1.3214483,3.4350000,2180.0000000,21.8839000,3827.0000000,35623.2000000,5050.8000000,2.9900000,120.8376880,-51.3456260
FP,18.0157000,2.5240000,610.0000000,21.6440000,463.0000000,7.6436400,4709.0000000,7.6100000,86.8207140,-72.4226110
